zip,lat,lng,mi_sac,mi_oak,mi_nearest
95614,38.88624,-120.97970,34.8,102.4,34.8
95615,38.31862,-121.55475,18.5,52.7,18.5
95616,38.55413,-121.79847,16.5,57.8,16.5
95618,38.54321,-121.68150,10.5,60.3,10.5
95619,38.68060,-120.81426,37.3,99.6,37.3
95620,38.41262,-121.75622,18.4,50.5,18.4
95621,38.69570,-121.30830,12.8,80.8,12.8
95623,38.60360,-120.85703,34.5,94.6,34.5
95624,38.42751,-121.31490,14.4,67.5,14.4
95625,38.35812,-121.91155,27.3,43.0,27.3
95626,38.73315,-121.46817,10.6,77.6,10.6
95627,38.73451,-122.02535,30.5,65.6,30.5
95628,38.65207,-121.25441,13.8,80.5,13.8
95629,38.51647,-120.68852,43.8,99.1,43.8
95630,38.66660,-121.14163,19.9,85.5,19.9
95631,39.05346,-120.79563,49.8,117.6,49.8
95632,38.27445,-121.25920,24.7,63.9,24.7
95633,38.84022,-120.82976,40.0,106.0,40.0
95634,38.93690,-120.77228,46.0,112.8,46.0
95635,38.91075,-120.90862,38.9,106.3,38.9
95636,38.62128,-120.38322,60.1,117.0,60.1
95637,38.83414,-122.23694,43.7,71.2,43.7
95638,38.31345,-121.12389,27.3,71.6,27.3
95639,38.38903,-121.50043,13.3,58.2,13.3
95640,38.32525,-120.95579,34.1,80.1,34.1
95641,38.14037,-121.58978,30.9,43.8,30.9
95642,38.34303,-120.76092,43.0,90.2,43.0
95645,38.88489,-121.77865,26.0,79.3,26.0
95646,38.68926,-120.05497,78.0,134.9,78.0
95648,38.92281,-121.31200,25.5,93.1,25.5
95650,38.80918,-121.17137,23.5,91.5,23.5
95651,38.81782,-120.92927,34.6,101.0,34.6
95652,38.66298,-121.40111,7.5,75.8,7.5
95653,38.69763,-121.97757,27.3,63.7,27.3
95655,38.54923,-121.27860,11.9,74.5,11.9
95658,38.88118,-121.16901,27.1,95.4,27.1
95659,38.84223,-121.57216,18.5,81.1,18.5
95660,38.67854,-121.37997,9.1,77.4,9.1
95661,38.74107,-121.24769,17.3,85.3,17.3
95662,38.68917,-121.21843,16.6,83.7,16.6
95663,38.85581,-121.18231,25.3,93.6,25.3
95664,38.80129,-121.03794,28.9,96.0,28.9
95665,38.40065,-120.64846,47.4,97.4,47.4
95666,38.52386,-120.37663,60.5,114.3,60.5
95667,38.73492,-120.78995,39.5,102.9,39.5
95668,38.83355,-121.49810,17.4,82.5,17.4
95669,38.48262,-120.89947,32.9,88.0,32.9
95670,38.60427,-121.28033,11.7,77.1,11.7
95672,38.72237,-120.97863,29.5,94.6,29.5
95673,38.68924,-121.45901,7.7,75.4,7.7
95674,38.95416,-121.48187,25.8,90.2,25.8
95675,38.54470,-120.74050,40.8,97.6,40.8
95677,38.79107,-121.23485,20.1,88.3,20.1
95678,38.76407,-121.28752,16.8,85.1,16.8
95679,38.89631,-122.36536,51.7,75.6,51.7
95680,38.24042,-121.58754,24.1,47.9,24.1
95681,38.99556,-121.35354,29.6,96.1,29.6
95682,38.61213,-120.96452,28.7,90.3,28.7
95683,38.51199,-121.09626,22.0,80.4,22.0
95684,38.59231,-120.58466,49.1,106.5,49.1
95685,38.43448,-120.76166,40.9,92.9,40.9
95686,38.15779,-121.52022,29.3,47.6,29.3
95687,38.33313,-121.92015,28.7,41.2,28.7
95688,38.40857,-122.02277,31.0,43.9,31.0
95689,38.47883,-120.61199,48.2,101.5,48.2
95690,38.19958,-121.61827,27.2,44.8,27.2
95691,38.62795,-121.59329,6.2,67.8,6.2
95692,39.04693,-121.40309,32.5,97.9,32.5
95693,38.39928,-121.21012,19.9,70.8,19.9
95694,38.56887,-122.07978,31.6,53.8,31.6
95695,38.68704,-121.85708,20.9,65.0,20.9
95697,38.73237,-121.81026,20.0,68.8,20.0
95698,38.81636,-121.91077,27.7,72.6,27.7
95699,38.43677,-120.85762,35.9,88.4,35.9
95701,39.22655,-120.76702,59.3,127.5,59.3
95703,38.98588,-120.97867,39.4,107.5,39.4
95709,38.75013,-120.67541,45.7,108.4,45.7
95713,39.11183,-120.87797,49.4,117.7,49.4
95714,39.20050,-120.84073,55.4,123.6,55.4
95715,39.26996,-120.67761,64.7,132.9,64.7
95717,39.14453,-120.85258,52.0,120.3,52.0
95720,38.76661,-120.22393,69.7,129.4,69.7
95721,38.84374,-120.07267,78.8,139.1,78.8
95722,39.00980,-121.03471,38.6,106.9,38.6
95724,39.31170,-120.32812,80.5,147.9,80.5
95726,38.80035,-120.50387,55.5,118.0,55.5
95728,39.31933,-120.39938,77.8,145.5,77.8
95735,38.84028,-120.15023,74.6,135.4,74.6
95736,39.03881,-120.97753,42.1,110.4,42.1
95742,38.57778,-121.20179,15.8,78.9,15.8
95746,38.74753,-121.18009,20.5,88.0,20.5
95747,38.78207,-121.37315,15.3,83.3,15.3
95757,38.34489,-121.43123,16.7,59.0,16.7
95758,38.42781,-121.44470,11.0,62.2,11.0
95762,38.68509,-121.06377,24.3,89.4,24.3
95765,38.81555,-121.28017,19.9,88.1,19.9
95776,38.69861,-121.69926,13.7,69.1,13.7
95811,38.58323,-121.47810,0.9,68.9,0.9
95814,38.58057,-121.49559,0.1,68.2,0.1
95815,38.60541,-121.44759,3.0,71.2,3.0
95816,38.57158,-121.46646,1.7,68.7,1.7
95817,38.55055,-121.45637,3.0,67.9,3.0
95818,38.55449,-121.49706,1.9,66.7,1.9
95819,38.56983,-121.44007,3.0,69.5,3.0
95820,38.53488,-121.44437,4.2,67.6,4.2
95821,38.62569,-121.38492,6.7,74.4,6.7
95822,38.51279,-121.49362,4.8,64.7,4.8
95823,38.47410,-121.44345,7.9,64.5,7.9
95824,38.51758,-121.44074,5.3,66.8,5.3
95825,38.59190,-121.40847,4.7,71.8,4.7
95826,38.54375,-121.37769,6.8,70.5,6.8
95827,38.55613,-121.32426,9.4,73.1,9.4
95828,38.48881,-121.39584,8.3,67.1,8.3
95829,38.48954,-121.32345,11.2,69.9,11.2
95830,38.49051,-121.28417,13.0,71.6,13.0
95831,38.49397,-121.52919,6.3,62.4,6.3
95832,38.44705,-121.49611,9.3,61.2,9.3
95833,38.61905,-121.51755,2.9,69.6,2.9
95834,38.63565,-121.51842,4.0,70.5,4.0
95835,38.67065,-121.52598,6.4,72.2,6.4
95837,38.69376,-121.59894,9.6,71.5,9.6
95838,38.64572,-121.44525,5.2,73.4,5.2
95841,38.66037,-121.34739,9.6,77.5,9.6
95842,38.68681,-121.34915,10.7,78.9,10.7
95843,38.71546,-121.36342,11.6,79.9,11.6
95864,38.58405,-121.37585,6.4,72.6,6.4
95901,39.22394,-121.49405,44.4,106.7,44.4
95903,39.10610,-121.36818,36.9,102.4,36.9
95910,39.49113,-120.81723,72.6,140.5,72.6
95912,39.01670,-122.06214,42.9,84.5,42.9
95914,39.44900,-121.33052,60.6,124.5,60.6
95915,40.00626,-121.15889,100.1,163.5,100.1
95916,39.66554,-121.35196,75.3,137.8,75.3
95917,39.40969,-121.75665,58.9,114.3,58.9
95918,39.30123,-121.33793,50.4,115.1,50.4
95919,39.43288,-121.26114,60.1,125.0,60.1
95920,39.44979,-121.93637,64.5,115.1,64.5
95922,39.48834,-121.06691,66.7,133.3,66.7
95923,40.13373,-121.09269,109.4,172.9,109.4
95925,39.48411,-121.19265,64.4,129.8,64.4
95926,39.74563,-121.84383,82.6,136.1,82.6
95928,39.68571,-121.84408,78.6,132.0,78.6
95930,39.54860,-121.19210,68.8,133.8,68.8
95932,39.26647,-121.97860,54.0,102.3,54.0
95934,40.06007,-120.90792,106.9,172.2,106.9
95935,39.37935,-121.19231,57.5,123.4,57.5
95936,39.60538,-120.81101,79.7,147.2,79.7
95937,38.88524,-121.99904,34.4,76.1,34.4
95938,39.60471,-121.79529,72.5,127.0,72.5
95939,39.57198,-122.58083,89.9,123.3,89.9
95941,39.51631,-121.25093,65.9,130.5,65.9
95942,40.01945,-121.56664,99.4,157.7,99.4
95943,39.58481,-122.03230,75.1,123.7,75.1
95944,39.49527,-120.94381,69.7,137.0,69.7
95945,39.19639,-120.97229,50.9,119.1,50.9
95946,39.21559,-121.20324,46.5,113.3,46.5
95947,40.17457,-120.81977,115.8,181.4,115.8
95948,39.33926,-121.77079,54.4,109.4,54.4
95949,39.09923,-121.13885,40.6,108.4,40.6
95950,39.04345,-121.91810,39.2,87.7,39.2
95951,39.72251,-122.00443,83.4,133.3,83.4
95953,39.25902,-121.77683,49.2,104.0,49.2
95954,39.88465,-121.58679,90.2,148.4,90.2
95955,39.29452,-122.20171,62.2,103.0,62.2
95956,39.83829,-121.13424,88.9,153.3,88.9
95957,39.06092,-121.82716,37.7,90.1,37.7
95959,39.34781,-120.91873,61.3,129.3,61.3
95960,39.40322,-121.03449,61.9,129.1,61.9
95961,39.04030,-121.56048,31.9,93.7,31.9
95962,39.34476,-121.26452,54.2,119.5,54.2
95963,39.73631,-122.25934,89.7,133.5,89.7
95965,39.59394,-121.58136,70.1,129.1,70.1
95966,39.47536,-121.41411,61.9,124.4,61.9
95968,39.43521,-121.55192,59.1,119.2,59.1
95969,39.71685,-121.64618,78.9,136.4,78.9
95970,39.39842,-122.06095,64.1,110.7,64.1
95971,39.94006,-120.89133,99.3,165.2,99.3
95973,39.89162,-121.84198,92.4,146.1,92.4
95974,39.48022,-121.83845,64.8,118.1,64.8
95975,39.22435,-121.15162,48.1,115.3,48.1
95977,39.17659,-121.29169,42.5,108.6,42.5
95978,39.87560,-121.53632,89.4,148.5,89.4
95979,39.30203,-122.51116,73.9,104.3,73.9
95981,39.67940,-120.99862,80.4,146.6,80.4
95982,39.17273,-121.80582,44.1,97.8,44.1
95983,40.07791,-120.70731,111.6,178.1,111.6
95984,40.04095,-121.12265,102.8,166.4,102.8
95986,39.34254,-120.77087,65.4,133.6,65.4
95987,39.10513,-122.28300,55.8,89.9,55.8
95988,39.49165,-122.26208,75.2,116.6,75.2
95991,38.99419,-121.59459,29.0,90.0,29.0
95993,39.08250,-121.68011,36.0,93.9,36.0
96001,40.60178,-122.45497,148.7,193.5,148.7
96002,40.52783,-122.31875,141.5,188.2,141.5
96007,40.45803,-122.27783,136.2,183.4,136.2
96020,40.39796,-121.29853,125.9,186.6,125.9
96021,39.92345,-122.27081,101.6,146.4,101.6
96022,40.33639,-122.44851,131.5,175.2,131.5
96029,39.94026,-122.48920,107.9,148.0,107.9
96035,40.04564,-122.18486,107.7,154.9,107.7
96047,40.47108,-122.66096,144.6,185.4,144.6
96055,40.10324,-122.07474,109.6,159.2,109.6
96059,40.42164,-121.83305,128.4,182.4,128.4
96061,40.33807,-121.47907,121.4,180.1,121.4
96062,40.58012,-122.04140,141.1,192.2,141.1
96063,40.37047,-121.60631,123.7,180.8,123.7
96069,40.68534,-122.01607,148.0,199.5,148.0
96071,40.66385,-121.46106,143.9,202.3,143.9
96073,40.60307,-122.18666,144.5,193.4,144.5
96074,39.88465,-122.58651,107.3,144.7,107.3
96075,40.34324,-121.85220,123.2,176.9,123.2
96076,40.39154,-122.93788,146.8,182.3,146.8
96080,40.18189,-122.37710,120.2,164.4,120.2
96088,40.51087,-121.87611,134.8,188.2,134.8
96090,40.02172,-122.12782,105.1,153.4,105.1
96092,39.96332,-122.01724,99.5,149.8,99.5
96096,40.65409,-121.82285,144.3,198.4,144.3
96103,39.80559,-120.66598,95.5,163.1,95.5
96105,39.75358,-120.05500,111.8,180.0,111.8
96106,39.73664,-120.54374,94.7,162.7,94.7
96107,38.42528,-119.47574,109.7,157.9,109.7
96109,40.01971,-120.09918,124.2,192.5,124.2
96111,39.48348,-120.03766,100.0,167.3,100.0
96113,40.14293,-120.15901,129.3,197.4,129.3
96114,40.29675,-120.49984,129.8,196.7,129.8
96118,39.63960,-120.24714,99.1,167.3,99.1
96120,38.74338,-119.86762,88.5,145.6,88.5
96121,40.16439,-120.38004,124.5,192.1,124.5
96122,39.82523,-120.47705,101.7,169.8,101.7
96124,39.64187,-120.44527,92.4,160.6,92.4
96125,39.60271,-120.63615,84.2,152.3,84.2
96126,39.52972,-120.45417,86.1,154.3,86.1
96128,40.35877,-120.40815,135.8,202.8,135.8
96129,39.78927,-120.35728,103.3,171.5,103.3
96130,40.55176,-120.67567,142.9,208.2,142.9
96133,38.62096,-119.50518,107.4,160.4,107.4
96135,39.80865,-120.20567,109.3,177.6,109.3
96136,40.34575,-120.08115,143.3,211.2,143.3
96137,40.27073,-121.03946,119.2,182.8,119.2
96140,39.23203,-120.09641,87.6,153.5,87.6
96141,39.06727,-120.17780,78.4,143.0,78.4
96142,38.99717,-120.12963,78.9,142.3,78.9
96143,39.25445,-120.02218,91.8,157.5,91.8
96145,39.14829,-120.17092,81.3,146.7,81.3
96146,39.19805,-120.23779,79.9,146.1,79.9
96148,39.24905,-120.06043,89.8,155.7,89.8
96150,38.86982,-120.00859,82.5,143.0,82.5
96155,38.76299,-120.08707,76.9,135.7,76.9
96161,39.31309,-120.20778,85.6,152.6,85.6
