zip,lat,lng,mi_sac,mi_oak,mi_nearest
94513,37.92223,-121.66836,46.5,33.9,33.9
94514,37.82637,-121.62255,52.6,35.4,35.4
94515,38.63482,-122.61505,60.6,60.3,60.3
94516,37.83390,-122.16503,63.2,6.1,6.1
94517,37.89022,-121.87835,52.1,22.2,22.2
94518,37.95036,-122.02204,52.2,16.9,16.9
94519,37.98845,-122.01300,49.7,19.0,19.0
94520,37.99529,-122.04063,50.2,18.2,18.2
94521,37.95601,-121.95619,50.0,20.1,20.1
94523,37.95413,-122.07614,53.6,14.8,14.8
94525,38.05295,-122.23209,54.2,17.3,17.3
94526,37.81461,-121.99055,59.4,15.3,15.3
94528,37.84560,-121.95061,56.6,17.7,17.7
94530,37.92156,-122.29834,63.1,8.2,8.2
94531,37.96576,-121.77582,45.2,29.2,29.2
94533,38.28075,-122.00638,34.6,35.9,34.6
94534,38.24484,-122.13586,41.8,31.3,31.3
94535,38.28222,-121.92472,31.2,38.0,31.2
94536,37.57051,-121.98125,74.7,22.6,22.6
94538,37.50137,-121.95675,78.8,27.1,27.1
94539,37.51691,-121.91176,77.0,27.9,27.9
94541,37.67395,-122.08482,70.4,13.6,13.6
94542,37.65988,-122.03714,70.2,16.2,16.2
94544,37.63382,-122.05720,72.3,16.6,16.6
94545,37.60590,-122.12687,75.7,15.8,15.8
94546,37.71451,-122.07954,67.8,12.2,12.2
94547,38.01017,-122.26173,57.4,14.2,14.2
94548,37.97429,-121.65144,42.8,35.8,35.8
94549,37.89701,-122.11429,58.0,10.7,10.7
94550,37.51999,-121.57560,73.5,42.8,42.8
94551,37.75050,-121.74905,59.1,28.8,28.8
94552,37.72272,-122.02155,65.9,14.8,14.8
94553,37.99389,-122.13644,53.5,15.0,15.0
94555,37.54821,-122.09868,78.6,20.1,20.1
94556,37.84065,-122.11488,61.3,8.9,8.9
94558,38.44201,-122.23832,41.4,44.1,41.4
94559,38.24572,-122.31341,50.0,30.6,30.6
94560,37.50451,-122.03292,80.0,24.5,24.5
94561,37.99394,-121.69114,42.0,34.2,34.2
94563,37.87992,-122.18457,61.3,7.0,7.0
94564,37.99404,-122.28259,59.0,13.1,13.1
94565,38.01458,-121.90626,45.1,24.6,24.6
94566,37.64810,-121.84996,67.3,25.4,25.4
94567,38.70691,-122.39400,49.3,62.7,49.3
94568,37.71525,-121.91470,64.1,20.4,20.4
94569,38.04426,-122.19876,53.3,17.0,17.0
94571,38.14886,-121.73770,32.7,37.6,32.7
94572,38.03279,-122.25221,55.9,15.8,15.8
94573,38.45886,-122.42883,51.2,46.0,46.0
94574,38.54245,-122.41992,50.1,51.6,50.1
94575,37.84096,-122.10950,61.1,9.2,9.2
94576,38.54942,-122.47638,53.1,52.7,52.7
94577,37.71328,-122.16735,70.3,8.5,8.5
94578,37.70614,-122.12555,69.5,10.5,10.5
94579,37.68649,-122.15720,71.6,10.3,10.3
94580,37.67573,-122.13302,71.6,11.7,11.7
94582,37.76217,-121.91579,61.1,19.6,19.6
94583,37.75512,-121.97270,62.7,16.7,16.7
94585,38.19250,-121.92753,35.7,32.7,32.7
94586,37.57459,-121.85371,72.3,27.8,27.8
94587,37.60316,-122.01864,73.4,19.6,19.6
94588,37.79268,-121.86059,58.0,22.4,22.4
94589,38.18735,-122.22407,48.0,26.6,26.6
94590,38.10323,-122.24910,52.6,20.7,20.7
94591,38.12287,-122.19686,49.5,22.4,22.4
94592,38.08973,-122.27739,54.4,19.7,19.7
94595,37.87195,-122.06938,58.1,12.0,12.0
94596,37.88910,-122.03755,56.2,14.0,14.0
94597,37.91819,-122.07166,55.5,13.4,13.4
94598,37.89994,-121.99924,54.5,16.2,16.2
94599,38.40988,-122.36151,48.4,42.1,42.1
94601,37.77555,-122.21870,68.2,3.5,3.5
