TRUCRS ID,Name,Carrier Number,Carrier Type,Complies,Date Certificate Printed,ZEV Fleet,Email,URL,Address,Phone,Date Parsed,Year,Month,Year-Month
223315,TRANSPORTERS PRO LLC,556396,CA Number,TB,2025-05-30 10:50:05,N,,,,,2025-05-150 10:50:00,2025,5,2025-05
266377,PAM INTERNATIONAL INC,3613598,USDOT Number,TB,2025-05-30 10:36:10,N,,,,,2025-05-150 10:36:00,2025,5,2025-05
248185,Transgoods LLC,600148,CA Number,TB,2025-05-30 10:33:34,N,,,,,2025-05-150 10:33:00,2025,5,2025-05
237397,Nick Hastings Trucking LLC,484768,CA Number,TB,2025-05-30 10:28:18,N,,,,,2025-05-150 10:28:00,2025,5,2025-05
255082,RTF transport llc,2562511,USDOT Number,TB,2025-05-30 10:17:16,N,,,,,2025-05-150 10:17:00,2025,5,2025-05
256198,MAJHAIL TRANSPORTATION INC,641419,CA Number,ACF/TB,2025-05-30 10:06:53,N,,,,,2025-05-150 10:06:00,2025,5,2025-05
266366,Bg Logistics Inc,4270486,USDOT Number,ACF,2025-05-30 10:04:29,N,,,,,2025-05-150 10:04:00,2025,5,2025-05
194626,UNITY TRANS,3021325,USDOT Number,TB,2025-05-30 10:04:02,N,,,,,2025-05-150 10:04:00,2025,5,2025-05
254927,Pioneer Operations,618960,CA Number,TB,2025-05-30 10:02:10,N,,,,,2025-05-150 10:02:00,2025,5,2025-05
265717,BIG W TRUCKING LLC,658988,CA Number,TB,2025-05-30 9:48:15,N,,,,,2025-05-150 09:48:00,2025,5,2025-05
141682,DONAGHY SALES LLC,610990,CA Number,TB,2025-05-30 9:43:27,N,,,,,2025-05-150 09:43:00,2025,5,2025-05
246373,A1 TRUCKING SERVICES INC,621783,CA Number,TB,2025-05-30 9:43:20,N,,,,,2025-05-150 09:43:00,2025,5,2025-05
266370,DBN FREIGHT INC,3489728,USDOT Number,TB,2025-05-30 9:36:39,N,,,,,2025-05-150 09:36:00,2025,5,2025-05
266373,"A-Prime Trucking, Inc.",619965,CA Number,TB,2025-05-30 9:29:50,N,,,,,2025-05-150 09:29:00,2025,5,2025-05
266373,Sidhu Trans Inc,3980452,USDOT Number,TB,2025-05-30 9:29:50,N,,,,,2025-05-150 09:29:00,2025,5,2025-05
265203,SMS TRUCKING LLC,4392467,USDOT Number,TB,2025-05-30 9:19:07,N,,,,,2025-05-150 09:19:00,2025,5,2025-05
265203,SIDHU TRUCK LINE INC,,CA Number,TB,2025-05-30 9:19:07,N,,,,,2025-05-150 09:19:00,2025,5,2025-05
266371,ROYAL KING LOGISTICS INC,3556948,USDOT Number,TB,2025-05-30 9:14:42,N,,,,,2025-05-150 09:14:00,2025,5,2025-05
29429,MANGO TRUCK LINES INC,CA0247439,CA Number,TB,2025-05-30 9:02:58,N,,,,,2025-05-150 09:02:00,2025,5,2025-05
266368,Colarossi Arborcare Inc.,642274,CA Number,TB,2025-05-30 8:42:55,N,,,,,2025-05-150 08:42:00,2025,5,2025-05
195310,Dragon Xpress LLC,3561122,USDOT Number,TB,2025-05-30 8:42:53,N,,,,,2025-05-150 08:42:00,2025,5,2025-05
85514,ANDY T HOANG TRUCKING LLC,108955,CA Number,TB,2025-05-30 8:31:41,N,,,,,2025-05-150 08:31:00,2025,5,2025-05
243777,TCD Trucking Services Inc.,1394270,USDOT Number,TB,2025-05-30 8:15:13,N,,,,,2025-05-150 08:15:00,2025,5,2025-05
266252,Baby Akima Transportation LLC,4321687,USDOT Number,TB,2025-05-30 8:14:29,N,,,,,2025-05-150 08:14:00,2025,5,2025-05
82036,G AND P LOGISTICS INC,836260,USDOT Number,TB,2025-05-30 8:10:46,N,,,,,2025-05-150 08:10:00,2025,5,2025-05
266369,B-Allen LLC,546674,CA Number,TB,2025-05-30 8:10:18,N,,,,,2025-05-150 08:10:00,2025,5,2025-05
232197,H&S Trucking,583120,CA Number,TB,2025-05-30 8:04:20,N,,,,,2025-05-150 08:04:00,2025,5,2025-05
266239,RODEO TRUCKING INC,525044,CA Number,TB,2025-05-30 7:55:45,N,,,,,2025-05-150 07:55:00,2025,5,2025-05
227154,GLP Trucking Inc,518298,CA Number,TB,2025-05-30 7:36:53,N,,,,,2025-05-150 07:36:00,2025,5,2025-05
220165,omson trucking,4076557,USDOT Number,TB,2025-05-30 7:25:04,N,,,,,2025-05-150 07:25:00,2025,5,2025-05
220165,SAFE MILE TRUCKING LLC,630596,CA Number,TB,2025-05-30 7:25:04,N,,,,,2025-05-150 07:25:00,2025,5,2025-05
151577,C REYES TRUCKING,633664,CA Number,TB,2025-05-30 7:08:34,N,,,,,2025-05-150 07:08:00,2025,5,2025-05
227917,LALA TRUCKLINE INC,613872,CA Number,TB,2025-05-30 6:40:33,N,,,,,2025-05-150 06:40:00,2025,5,2025-05
227917,KABONA TRANSPORTATION LLC,3921494,USDOT Number,TB,2025-05-30 6:40:33,N,,,,,2025-05-150 06:40:00,2025,5,2025-05
227890,POLARIS 86 TRANSPORTATION INC,606488,CA Number,TB,2025-05-30 6:40:05,N,,,,,2025-05-150 06:40:00,2025,5,2025-05
