Batch,Lead_ID,Company_Name,USDOT,CA_Number,Violation,Priority,Last_CARB_Check,Address,City,State,Zip,Phone,Email,Website,Lat,Lng,Distance_mi,Status,Last_Contact,Notes,SAFER_URL,Google_Search,
7,67,Baker Trucking,165135,1973507,TB,1,2024-12-27,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=165135,https://www.google.com/search?q=Baker+Trucking+trucking+California+address+phone,Baker Trucking
7,68,PELTZER ENTERPRISES INC,89642,1994738,TB,1,2025-02-05,33580 Road 132,Visalia,CA,93292,,,,36.3985858,-119.2750372,191.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=89642,https://www.google.com/search?q=PELTZER+ENTERPRISES+INC+trucking+California+address+phone,PELTZER ENTERPRISES INC
7,69,"ARNAUDO BROS. TRANSPORT, INC.",45168,198696,TB,1,2024-12-30,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=45168,https://www.google.com/search?q=ARNAUDO+BROS.+TRANSPORT+INC.+trucking+California+address+phone,ARNAUDO BROS. TRANSPORT INC.
7,70,AMERICAN LAMIN,270121,935636,TB,1,2025-01-23,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=270121,https://www.google.com/search?q=AMERICAN+LAMIN+trucking+California+address+phone,AMERICAN LAMIN
8,71,MARTINELLI,505377,,TB,1,2025-01-30,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=505377,https://www.google.com/search?q=MARTINELLI+trucking+California+address+phone,MARTINELLI
8,72,GREENFIELD TRUCKING,22417,50014,TB,1,2025-01-13,12695 Golden State,McFarland,CA,93250,,,,35.6896623,-119.230671,222.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=22417,https://www.google.com/search?q=GREENFIELD+TRUCKING+trucking+California+address+phone,GREENFIELD TRUCKING
8,73,"Cardinale Moving & Storage, Inc",138022,,TB,1,2025-01-24,11360 Commercial Parkway,Castroville,CA,95012,,,,36.7562992,-121.7383586,78.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=138022,https://www.google.com/search?q=Cardinale+Moving+&+Storage+Inc+trucking+California+address+phone,Cardinale Moving & Storage Inc
8,74,"Valley View Transportation, Inc.",1612334,,TB,1,2025-01-31,Valley View Reed,San Jose,CA,,,,,37.2685091,-121.8817673,42.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1612334,https://www.google.com/search?q=Valley+View+Transportation+Inc.+trucking+California+address+phone,Valley View Transportation Inc.
8,75,"Bakke Ag Service, Inc",615242,3915232,TB,1,2025-01-24,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=615242,https://www.google.com/search?q=Bakke+Ag+Service+Inc+trucking+California+address+phone,Bakke Ag Service Inc
8,76,"AZEVEDO CATTLE CO, INC.",925124,62192,TB,1,2025-01-05,461 El Camino Real,Salinas,CA,93908,,,,36.6171316,-121.5723611,90.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=925124,https://www.google.com/search?q=AZEVEDO+CATTLE+CO+INC.+trucking+California+address+phone,AZEVEDO CATTLE CO INC.
8,77,KYLE & KYLE RANCHES INC,2613495,214529,TB,1,2025-03-20,12345 East Avenue J,Lancaster,CA,93535,,,,34.690609,-117.908418,324.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=2613495,https://www.google.com/search?q=KYLE+&+KYLE+RANCHES+INC+trucking+California+address+phone,KYLE & KYLE RANCHES INC
8,78,"Ram Trucking, Inc.",5544,220272,TB,1,2025-01-28,32645 McCoy Road,Soledad,CA,93960,,,,36.4520836,-121.3658416,105.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=5544,https://www.google.com/search?q=Ram+Trucking+Inc.+trucking+California+address+phone,Ram Trucking Inc.
8,79,Berry Warren Trucking,669857,26489,TB,1,2025-01-28,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=669857,https://www.google.com/search?q=Berry+Warren+Trucking+trucking+California+address+phone,Berry Warren Trucking
8,80,Perfect Rice & Cattle Co.,394389,1934216,TB,1,2025-01-02,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=394389,https://www.google.com/search?q=Perfect+Rice+&+Cattle+Co.+trucking+California+address+phone,Perfect Rice & Cattle Co.
9,81,GENACE HAY COMPANY INC,733279,836879,TB,1,2025-03-21,3642 Finney Road,Modesto,CA,95358,,,,37.688902,-121.0863443,65.2,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=733279,https://www.google.com/search?q=GENACE+HAY+COMPANY+INC+trucking+California+address+phone,GENACE HAY COMPANY INC
9,82,Burkett Pool Plastering,10892,1363111,TB,1,2025-01-29,600 Frontage Road,Ripon,CA,95366,,,,37.7440613,-121.1278228,62.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=10892,https://www.google.com/search?q=Burkett+Pool+Plastering+trucking+California+address+phone,Burkett Pool Plastering
9,83,SIERRA CASCADE NURSERY,175145,837468,TB,1,2025-01-15,10850 Santa Fe Drive,Ballico,CA,95303,,,,37.4412498,-120.6821517,90.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=175145,https://www.google.com/search?q=SIERRA+CASCADE+NURSERY+trucking+California+address+phone,SIERRA CASCADE NURSERY
9,84,Alexandre Dairy,1507357,212933,TB,1,2025-02-03,Modesto,Modesto,CA,95357,,,,37.7181129,-120.9618716,71.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1507357,https://www.google.com/search?q=Alexandre+Dairy+trucking+California+address+phone,Alexandre Dairy
9,85,"GEORGE BIANCHI, INC.",3407679,563108,TB,1,2025-01-20,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3407679,https://www.google.com/search?q=GEORGE+BIANCHI+INC.+trucking+California+address+phone,GEORGE BIANCHI INC.
9,86,Ashurst Honey Co.,64616,663570,TB,1,2025-01-03,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=64616,https://www.google.com/search?q=Ashurst+Honey+Co.+trucking+California+address+phone,Ashurst Honey Co.
9,87,"JOE GOMES & SONS, INC.",3638,497043,TB,1,2025-01-10,23839 Bloss Avenue,Hilmar,CA,95324,,,,37.401981,-120.919327,79.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=3638,https://www.google.com/search?q=JOE+GOMES+&+SONS+INC.+trucking+California+address+phone,JOE GOMES & SONS INC.
9,88,Frank Borba & Son Custom Chopping,1399981,447437,TB,1,2025-01-31,2248 West Service Road,Modesto,CA,95358,,,,37.5795807,-121.0291672,69.7,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1399981,https://www.google.com/search?q=Frank+Borba+&+Son+Custom+Chopping+trucking+California+address+phone,Frank Borba & Son Custom Chopping
9,89,Lee Bundy,1477228,137835,TB,1,2025-01-19,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1477228,https://www.google.com/search?q=Lee+Bundy+trucking+California+address+phone,Lee Bundy
9,90,ROBERT GIOLETTI & SONS,71823,b57521,TB,1,2025-01-09,F2VQ+MM,Hatch,CA,95380,,,,37.4941364,-120.9608024,74.8,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=71823,https://www.google.com/search?q=ROBERT+GIOLETTI+&+SONS+trucking+California+address+phone,ROBERT GIOLETTI & SONS
10,91,G & G TRANSPORTATION INC,1218684,MC517880,TB,1,2024-12-31,705 North Tully Road,Turlock,CA,95380,,,,37.4987298,-120.8721775,79.4,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1218684,https://www.google.com/search?q=G+&+G+TRANSPORTATION+INC+trucking+California+address+phone,G & G TRANSPORTATION INC
10,92,Jim*s Honey Farm LLC,834667,,TB,1,2025-06-10,7701 Jenica Street,Bakersfield,CA,93314,,,,35.4296641,-119.1399442,238.9,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=834667,https://www.google.com/search?q=Jim*s+Honey+Farm+LLC+trucking+California+address+phone,Jim*s Honey Farm LLC
10,93,Premier Color Nursery,520621,559803,TB,1,2025-01-07,1244 Winter Haven Road,Fallbrook,CA,92028,,,,33.3506507,-117.2318649,418.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=520621,https://www.google.com/search?q=Premier+Color+Nursery+trucking+California+address+phone,Premier Color Nursery
10,94,"Burney Transportation, Inc.",284825,,TB,1,2025-01-13,21703 North Cottonwood Street,Burney,CA,96013,,,,40.9211879,-121.6311275,218.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=284825,https://www.google.com/search?q=Burney+Transportation+Inc.+trucking+California+address+phone,Burney Transportation Inc.
10,95,Eco-Shell Inc.,60908,1736652,TB,1,2025-02-18,California,,CA,,,,,36.778261,-119.4179324,172.1,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=60908,https://www.google.com/search?q=Eco-Shell+Inc.+trucking+California+address+phone,Eco-Shell Inc.
10,96,F & L Farms Trucking inc.,274534,725261,TB,1,2025-01-13,6995 Paradise Road,Princeton,CA,95970,,,,39.393755,-122.024855,110.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=274534,https://www.google.com/search?q=F+&+L+Farms+Trucking+inc.+trucking+California+address+phone,F & L Farms Trucking inc.
10,97,Vito Trucking LLC,1476470,,TB,1,2025-03-27,2812 Nathan Avenue,Modesto,CA,95354,,,,37.5960059,-120.9714151,72.5,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1476470,https://www.google.com/search?q=Vito+Trucking+LLC+trucking+California+address+phone,Vito Trucking LLC
10,98,"Costa Farms, Inc.",709098,,TB,1,2025-01-30,36817 Foothill Road,Soledad,CA,93960,,,,36.391854,-121.364589,109.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=709098,https://www.google.com/search?q=Costa+Farms+Inc.+trucking+California+address+phone,Costa Farms Inc.
10,99,Martins Bros. Dairy Farms,134238,765531,TB,1,2025-01-19,6041 Central Avenue,Hilmar,CA,95324,,,,37.3788511,-120.9599501,77.6,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=134238,https://www.google.com/search?q=Martins+Bros.+Dairy+Farms+trucking+California+address+phone,Martins Bros. Dairy Farms
10,100,G. Bortolotto & Co.,1647619,53039,TB,1,2025-03-11,582 Bragato Road,San Carlos,CA,94070,,,,37.5153639,-122.2669581,20,NEW,,,https://safer.fmcsa.dot.gov/query.asp?searchtype=ANY&query_type=queryCarrierSnapshot&query_param=USDOT&query_string=1647619,https://www.google.com/search?q=G.+Bortolotto+&+Co.+trucking+California+address+phone,G. Bortolotto & Co.
